col_0,col_1,col_2,col_3,col_4,col_5,origin_0,origin_1,origin_2,cylinders_0,cylinders_1,cylinders_2,cylinders_3,yr_0,yr_1,yr_2,yr_3
0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
