col_0,col_1,col_2,col_3,col_4,col_5,origin_0,origin_1,origin_2,cylinders,model_year
0,0,1,0,0,0,1,0,0,0,1
0,0,1,0,0,0,1,0,0,0,0
0,0,1,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,1,2,0
0,0,0,0,0,1,0,1,0,0,1
0,0,1,0,0,0,0,0,1,2,0
0,0,1,0,0,0,0,0,1,0,3
0,0,0,0,0,1,0,1,0,0,0
0,0,1,0,0,0,1,0,0,3,2
0,0,1,0,0,0,0,0,1,2,1
0,0,1,0,0,0,0,0,1,1,3
0,0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,1,2,2
0,1,0,0,0,0,0,1,0,0,2
0,0,0,1,0,0,0,0,1,2,1
1,0,0,0,0,0,0,0,1,1,1
0,0,1,0,0,0,0,0,1,2,1
0,1,0,0,0,0,0,0,1,0,2
0,0,0,1,0,0,0,1,0,0,3
0,0,1,0,0,0,1,0,0,0,0
0,1,0,0,0,0,0,1,0,0,3
0,0,1,0,0,0,0,1,0,0,3
1,0,0,0,0,0,0,0,1,1,2
0,0,0,0,0,1,0,1,0,0,3
0,0,1,0,0,0,0,0,1,0,2
0,0,0,1,0,0,0,0,1,1,1
0,0,1,0,0,0,0,1,0,0,3
0,0,0,1,0,0,0,0,1,1,2
0,0,0,0,0,1,0,1,0,0,3
0,1,0,0,0,0,0,0,1,2,0
0,0,1,0,0,0,0,0,1,2,0
0,0,1,0,0,0,0,0,1,2,2
0,0,0,0,0,1,0,1,0,0,3
0,0,0,1,0,0,0,0,1,2,2
1,0,0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0,1,0,1
0,0,0,1,0,0,0,1,0,0,2
0,0,0,0,0,1,0,1,0,1,3
0,0,0,1,0,0,0,0,1,0,3
0,0,1,0,0,0,0,0,1,0,2
1,0,0,0,0,0,0,0,1,0,3
0,0,1,0,0,0,0,0,1,0,3
0,0,0,1,0,0,0,1,0,0,3
0,0,1,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0,0,0,1,2,1
1,0,0,0,0,0,0,0,1,1,1
1,0,0,0,0,0,0,0,1,2,2
0,0,0,0,0,1,0,0,1,1,1
0,1,0,0,0,0,0,1,0,0,3
0,0,0,1,0,0,0,1,0,3,2
1,0,0,0,0,0,0,0,1,1,1
0,0,1,0,0,0,0,0,1,2,1
1,0,0,0,0,0,0,0,1,2,0
1,0,0,0,0,0,0,0,1,0,3
0,1,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,1,0,0,3
0,0,1,0,0,0,0,0,1,2,1
0,0,0,0,1,0,0,0,1,1,2
0,1,0,0,0,0,0,0,1,0,3
0,1,0,0,0,0,0,0,1,1,3
0,0,0,1,0,0,0,1,0,0,2
1,0,0,0,0,0,0,0,1,0,2
0,0,1,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,1,0,3,0
0,0,0,1,0,0,0,0,1,1,0
1,0,0,0,0,0,0,0,1,2,0
1,0,0,0,0,0,0,0,1,0,1
0,0,0,0,1,0,0,0,1,2,0
1,0,0,0,0,0,0,0,1,1,2
0,0,0,1,0,0,0,0,1,1,1
0,0,0,1,0,0,0,0,1,0,1
0,0,1,0,0,0,0,0,1,0,1
0,1,0,0,0,0,0,1,0,1,3
1,0,0,0,0,0,0,0,1,1,0
0,0,0,1,0,0,0,0,1,0,0
0,0,1,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,1,0,0,2
0,0,1,0,0,0,0,0,1,2,0
0,1,0,0,0,0,0,1,0,0,2
0,0,1,0,0,0,1,0,0,0,1
0,1,0,0,0,0,0,1,0,0,3
0,0,1,0,0,0,0,0,1,2,0
1,0,0,0,0,0,0,0,1,2,0
1,0,0,0,0,0,0,0,1,0,2
0,0,1,0,0,0,0,0,1,2,0
0,0,0,1,0,0,0,0,1,0,1
0,0,0,0,1,0,0,0,1,2,0
0,0,0,0,1,0,0,0,1,1,2
0,0,1,0,0,0,0,0,1,2,1
0,0,0,1,0,0,0,0,1,2,1
1,0,0,0,0,0,0,1,0,0,2
0,0,1,0,0,0,0,0,1,2,2
0,0,1,0,0,0,1,0,0,0,1
0,0,1,0,0,0,1,0,0,0,1
0,0,1,0,0,0,1,0,0,0,0
0,0,1,0,0,0,1,0,0,0,3
0,0,0,1,0,0,0,0,1,2,0
0,0,0,1,0,0,0,0,1,1,3
0,0,1,0,0,0,1,0,0,3,3
0,0,0,1,0,0,0,0,1,2,2
0,0,0,0,0,1,0,1,0,0,0
1,0,0,0,0,0,0,0,1,1,2
0,0,1,0,0,0,1,0,0,0,0
0,0,0,1,0,0,0,0,1,2,0
0,0,1,0,0,0,0,1,0,0,1
0,1,0,0,0,0,0,1,0,0,1
1,0,0,0,0,0,0,0,1,0,3
0,0,0,1,0,0,0,0,1,0,2
0,0,1,0,0,0,0,0,1,2,1
0,0,0,1,0,0,0,0,1,1,0
1,0,0,0,0,0,0,0,1,2,1
0,1,0,0,0,0,0,1,0,1,3
1,0,0,0,0,0,0,0,1,2,0
1,0,0,0,0,0,0,0,1,0,3
0,0,0,1,0,0,0,0,1,1,1
